gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
CHD3,-0.25,,0.51,0.72,,0.65,,,0.06,,,0.19,,,,,,-0.36,,1.39
LYPD5,-1.0,,,-0.37,,,,,-0.4,,,0.2,,,,,,0.78,,0.08
NANOG,0.51,,,-0.03,,,,,-0.88,,,0.76,,,,,,1.25,,-0.26
RRP7A,-0.56,,,1.32,,,,,-0.06,,,-2.8,,,,,,1.0,,-3.86
HEATR5A,-0.92,,,1.22,,,,,-0.11,,,0.33,,,,,,1.53,,-0.93
SNRNP70,0.18,,,0.29,,,,,1.57,,,-2.41,,,,,,0.76,,-2.11
NUP58,-0.52,,,0.12,,,,,1.18,,,-1.84,,,,,,-0.25,,-0.82
ANXA7,1.65,,,0.46,,,,,-0.47,,,0.04,,,,,,-0.6,,0.38
ZMYND12,-0.53,0.16,,0.09,,,,,-1.14,0.11,,0.46,,,,0.65,,-0.79,0.09,0.12
KRTAP10-10,0.52,,,0.68,,,,,-0.84,,,0.67,,,,,,-0.14,,0.76
SIN3B,1.43,,,-1.35,,,,,-1.53,,,-0.05,,,,,,1.01,,0.23
TRMT10A,1.61,,,-1.83,,,,,-0.39,,,0.2,,,,,,-0.86,,0.25
MSGN1,0.64,,,-1.06,,,,,1.1,,,0.3,,,,,,-0.29,,0.08
DKC1,0.84,-1.78,,3.73,,,,,2.34,-1.87,,-5.38,,,,1.19,,-0.83,0.89,-3.13
HACL1,0.7,,,0.2,,,,,1.08,,,0.35,,,,,,0.07,,0.05
GAR1,-0.34,,,1.35,,,,,1.96,,,-1.27,,,,,,0.62,,-0.88
HSD3B7,0.36,,,-1.21,,,,,-0.78,,,0.21,,,,,,-0.43,,0.29
ARID4B,-1.58,-0.22,,1.65,,,,,-0.25,-0.12,,0.31,,,,-1.74,,-0.78,-0.21,-0.15
USP37,-1.74,,,0.41,,,,,2.43,,,-1.75,,,,,,-3.03,,-1.83
MAN1C1,-0.94,,,-0.76,,,,,0.93,,,0.33,,,,,,0.5,,-0.21
TDP1,-0.25,,,0.31,-3.47,,0.62,1.53,0.9,,-0.18,0.66,-1.22,-0.22,0.7,,0.61,-1.91,,0.34
DERL2,-0.73,,,-0.1,,,,,-0.76,,,0.25,,,,,,-0.85,,-0.48
TERB2,0.91,,,0.26,,,,,1.14,,,0.53,,,,,,0.43,,-0.1
H2AZ1,1.04,,,-1.14,0.51,,-1.04,1.26,0.86,,1.46,0.11,-0.25,-0.58,-0.88,,-0.46,-0.99,,0.74
PTEN,-0.37,3.07,,0.33,-0.24,,-0.11,-0.82,5.49,2.3,-0.25,2.83,1.41,-2.58,2.32,2.83,1.5,2.24,-3.01,2.02
TES,-2.05,,,0.69,,,,,0.26,,,0.5,,,,,,0.73,,0.78
APOBEC3F,0.35,,,0.38,,,,,0.01,,,0.35,,,,,,0.44,,0.07
PLA2G4D,-0.24,,,1.21,,,,,1.21,,,0.13,,,,,,-1.43,,0.85
LSM1,1.45,,,0.04,,,,,-0.04,,,0.8,,,,,,-0.15,,0.83
SLC7A8,-0.57,,,-0.05,,,,,-0.51,,,0.56,,,,,,-0.7,,0.28
AJUBA,-1.05,,,0.57,,,,,1.05,,,0.41,,,,,,2.15,,0.15
UBE2T,0.68,,,0.47,-1.35,,-0.12,-1.09,0.58,,-0.27,-0.39,-0.3,-0.74,0.49,,0.25,0.37,,-0.42
AXIN1,0.94,,,1.36,,,,,-0.72,,,1.39,,,,,,-8.02,,2.53
DUSP12,1.25,,,-1.43,,,,,0.14,,,-0.36,,,,,,0.39,,-1.36
CXorf38,0.23,,,-0.65,,,,,-0.1,,,0.28,,,,,,0.94,,0.42
FRMD5,-0.94,,,0.88,,,,,-0.21,,,0.54,,,,,,-1.89,,1.02
FRMD6,0.36,,,0.65,,,,,-0.2,,,1.11,,,,,,-0.47,,1.59
FANCE,-0.08,,,0.03,-0.53,,0.06,-1.25,-0.67,,0.58,0.08,-0.08,-0.65,0.61,,0.19,0.08,,0.76
HRNR,0.52,,,-1.26,,,,,-0.21,,,0.25,,,,,,0.46,,0.83
MCM3AP,1.36,,,0.75,,,,,0.43,,,-1.59,,,,,,0.7,,-1.43
KRT77,0.18,,,2.61,,,,,0.08,,,0.06,,,,,,0.22,,0.07
HMCES,0.75,,,-1.32,,,,,2.96,,,-0.05,,,,,,1.1,,-0.24
GLRX3,0.65,,,0.91,,,,,0.12,,,-0.62,,,,,,-0.19,,-1.31
GUCD1,-0.53,,,-1.18,,,,,-0.16,,,-0.09,,,,,,0.03,,0.1
DCAF6,0.58,,,0.16,,,,,0.93,,,0.28,,,,,,0.96,,-0.25
TMEM158,-0.18,,,0.6,,,,,-1.73,,,0.45,,,,,,-0.19,,-0.06
SHF,1.37,,,-0.52,,,,,1.21,,,0.38,,,,,,-0.34,,0.24
MARCO,-0.36,,,0.61,,,,,-0.23,,,0.31,,,,,,0.83,,1.07
MAGEC2,0.5,,,0.8,,,,,1.23,,,0.27,,,,,,-0.81,,-0.23
UBE2G1,-0.33,,,-3.41,,,,,4.31,,,0.66,,,,,,-0.94,,0.98
COG1,0.9,,,1.12,,,,,1.24,,,-1.87,,,,,,2.07,,-2.68
MIEN1,-0.0,,,-1.14,,,,,-1.66,,,0.14,,,,,,0.03,,-0.72
UCHL1,0.15,,,0.84,,,,,0.83,,,0.52,,,,,,-1.47,,0.6
SNRNP35,-0.48,,,0.82,,,,,1.28,,,-2.37,,,,,,1.63,,-1.68
WNT4,-0.21,,,0.36,,,,,-0.91,,,-0.14,,,,,,1.43,,-1.13
EIF3K,0.32,,,0.39,,,,,-0.57,,,-0.02,,,,,,-1.05,,-0.88
NUP54,-1.34,,,-0.05,,,,,2.02,,,-1.59,,,,,,-0.47,,-2.12
SPC24,1.66,,,0.18,0.52,,-1.31,0.76,0.49,,1.28,-2.17,-0.99,-0.02,-1.72,,-1.47,0.45,,-3.55
SEM1,0.89,,,-1.96,0.11,,-0.92,-0.19,-0.17,,0.92,-1.55,-0.85,-0.5,-0.98,,-0.76,0.31,,-0.48
SEPTIN10,-0.8,0.26,,0.83,,,,,-0.38,0.23,,0.25,,,,-0.31,,0.16,-0.3,0.43
CD300LD-AS1,1.11,,,-0.71,,,,,-0.23,,,0.53,,,,,,-0.87,,-0.19
HOXB13,0.04,,,-0.6,,,,,-1.29,,,0.3,,,,,,-0.47,,1.26
DEFB121,1.06,,,0.46,,,,,0.4,,,0.79,,,,,,-0.42,,0.3
NAT1,-0.42,,,-0.53,,,,,-0.19,,,0.43,,,,,,-1.06,,0.81
RFC5,0.46,-1.16,,0.31,-0.18,,-0.84,0.25,1.09,-0.93,0.23,-3.83,-0.95,-0.41,-0.9,0.59,-0.57,-0.69,1.42,-2.83
WRN,1.3,,,0.13,-0.48,,-1.59,0.02,-0.28,,-0.47,0.39,0.38,0.05,-2.38,,0.53,-0.18,,0.25
SPESP1,-0.25,,,0.18,,,,,1.04,,,0.41,,,,,,-0.75,,0.34
FAM106A,,,,1.42,,,,,1.29,,,-0.6,,,,,,0.52,,-1.74
FAM200A,-1.38,,,-0.75,,,,,-0.75,,,0.4,,,,,,0.25,,-0.62
RUNX2,1.41,,,0.24,,,,,-1.81,,,0.76,,,,,,-0.87,,1.38
ATG13,-1.38,,,-1.0,,,,,0.56,,,0.27,,,,,,-0.07,,0.15
MYT1,1.65,,,-0.24,,,,,-1.37,,,0.59,,,,,,0.56,,0.01
STARD7,0.86,,,1.5,,,,,-0.1,,,0.02,,,,,,-1.46,,-0.04
POGLUT2,-1.34,,,0.9,,,,,0.12,,,0.61,,,,,,0.01,,0.68
PTRH2,,,,1.27,,,,,0.97,,,-0.13,,,,,,-1.41,,0.03
ECHDC2,-1.17,,,-1.57,,,,,-1.79,,,-0.11,,,,,,-0.48,,-0.32
PGAP3,-0.08,,,0.94,,,,,0.13,,,0.06,,,,,,0.77,,0.62
MXRA7,-1.11,,,-0.82,,,,,0.05,,,-0.03,,,,,,0.53,,0.26
PPP2R1A,0.39,-2.22,,0.54,,,,,1.17,-2.09,,-1.46,,,,-1.18,,-0.45,0.65,-2.52
SBK1,0.56,,,-1.97,,,,,-0.34,,,0.02,,,,,,0.63,,0.3
COPS5,-0.75,-1.31,,0.01,,,,,2.32,-1.71,,-3.57,,,,-0.59,,-3.24,-0.84,-2.29
SAR1A,3.01,,,0.45,,,,,-0.82,,,0.59,,,,,,-1.2,,0.37
PCBP2,0.59,,,-0.54,,,,,2.04,,,-0.42,,,,,,-1.02,,0.1
UFM1,0.3,,,0.81,,,,,1.75,,,0.06,,,,,,-1.74,,0.06
PLPPR5,0.2,,,-0.61,,,,,0.08,,,0.29,,,,,,-0.32,,-0.14
MYO15A,-0.88,,,1.37,,,,,-0.83,,,-0.31,,,,,,-1.23,,0.5
ETS2,-0.73,,,0.97,,,,,1.22,,,1.12,,,,,,0.95,,-0.05
TMEM41B,0.18,,,-1.03,,,,,1.04,,,-0.32,,,,,,-1.46,,-0.97
CHRNA9,1.54,,,-1.1,,,,,-0.86,,,0.57,,,,,,0.19,,-0.55
ELOB,1.89,-1.76,,-1.35,-0.7,,-1.28,-0.81,1.67,-2.06,0.37,-2.02,-1.94,0.05,-1.52,-2.58,-1.48,-1.74,-2.25,-2.0
DECR1,-0.38,,,0.77,,,,,-1.2,,,0.3,,,,,,-0.01,,0.91
NUP188,0.82,,,-1.3,,,,,-1.35,,,-1.21,,,,,,1.13,,-1.26
POM121,1.0,,,0.64,,,,,1.04,,,0.04,,,,,,-0.67,,0.92
RNF113A,0.33,-0.83,,-1.85,,,,,-0.06,-1.22,,-3.39,,,,-1.32,,-1.81,-1.41,-1.49
PHKG1,1.09,,,-0.52,,,,,0.11,,,0.08,,,,,,0.14,,0.21
EIF5A2,-0.52,,,0.78,,,,,0.1,,,0.37,,,,,,-0.68,,-0.47
ZNHIT3,1.96,,,1.13,,,,,1.9,,,-2.98,,,,,,-0.34,,-3.07
FLCN,1.18,0.21,,0.12,,,,,-0.11,0.26,,1.41,,,,-0.64,,-1.32,-0.09,1.52
HSP90AB1,-1.75,-0.18,,-0.05,,,,,-0.09,-1.84,,-0.69,,,,-0.05,,-0.6,-5.89,0.77
POLR1H,0.67,,,0.59,,,,,1.22,,,-2.18,,,,,,-0.48,,-1.07
INTS7,-0.12,,,1.64,,,,,0.39,,,-2.36,,,,,,-0.21,,-1.97
ARHGEF40,0.35,0.8,,-3.09,,,,,0.03,0.96,,0.17,,,,0.39,,0.97,0.43,-0.2
TTC28,1.23,,,0.71,,,,,0.19,,,0.54,,,,,,-0.03,,-0.13
PRICKLE2,-1.22,,,-1.07,,,,,-2.48,,,0.34,,,,,,1.03,,0.55
KAT14,-1.0,,,0.89,,,,,0.2,,,-0.17,,,,,,-2.71,,-0.2
ZNF607,-0.15,,,-0.42,,,,,0.27,,,0.63,,,,,,-0.53,,0.26
NPLOC4,0.05,,,0.69,,,,,2.54,,,-1.46,,,,,,-3.8,,-1.1
USP18,0.95,,,-0.6,,,,,-1.16,,,-0.31,,,,,,-2.7,,-0.01
CTCFL,1.29,,,-0.98,,,,,0.44,,,0.36,,,,,,0.41,,0.63
ALOX12B,1.66,,,0.66,,,,,-2.28,,,0.24,,,,,,0.56,,0.61
USP1,1.41,,,0.7,-0.29,,-0.01,-0.25,-0.96,,0.72,-0.3,-0.27,-0.36,0.51,,0.2,2.0,,-1.38
MTX1,0.84,,,-0.21,,,,,-1.32,,,-0.83,,,,,,0.89,,-0.68
MRGBP,1.63,,,-0.9,,,,,1.55,,,-0.32,,,,,,-0.2,,-1.2
ATP2B4,0.67,,,-0.65,,,,,-0.18,,,0.02,,,,,,-0.17,,0.33
CAND2,0.91,,,-0.0,,,,,-1.17,,,0.01,,,,,,-0.92,,0.53
CCNB3,-2.14,,,1.52,,,,,1.33,,,0.29,,,,,,-0.8,,0.93
HTR4,0.75,,,0.34,,,,,0.78,,,0.63,,,,,,0.07,,0.16
ASB10,-0.67,,,-0.52,,,,,-0.73,,,0.16,,,,,,0.37,,0.89
ZNF330,-0.18,,,-0.11,,,,,0.83,,,0.5,,,,,,0.44,,0.05
FRYL,-0.8,,,-0.6,,,,,-2.39,,,1.61,,,,,,-4.74,,3.69
ASH2L,1.41,,,1.35,,,,,2.19,,,-0.57,,,,,,-0.52,,-0.71
SLC1A5,-1.05,,,0.82,,,,,1.4,,,0.06,,,,,,-0.68,,1.02
EXOSC3,0.62,,,-0.45,,,,,1.1,,,-3.26,,,,,,-0.96,,-1.52
DMPK,-0.42,,,-0.78,,,,,-1.08,,,0.27,,,,,,-0.3,,-0.18
THAP10,0.98,,,-2.02,,,,,-0.61,,,0.62,,,,,,0.7,,0.18
FGF7,0.9,,,0.95,,,,,0.3,,,0.62,,,,,,-1.51,,0.66
DYNC1H1,-1.92,,,-1.28,,,,,1.58,,,-3.1,,,,,,0.16,,-3.74
RAPGEF4,0.75,,,-1.05,,,,,-0.04,,,0.15,,,,,,0.25,,0.18
ERCC2,-0.6,,,2.47,0.22,,-0.7,-0.45,1.77,,1.2,-2.9,-0.94,-0.19,-0.75,,-1.27,0.22,,-2.32
SERBP1,-0.14,,,1.53,,,,,2.07,,,-0.07,,,,,,-1.42,,0.13
AIP,0.11,,,-0.98,,,,,-0.25,,,-0.33,,,,,,-1.5,,1.28
MX2,-1.73,,,0.13,,,,,-0.03,,,0.36,,,,,,-0.55,,0.32
RRP1B,-0.39,,,0.03,,,,,-0.63,,,0.39,,,,,,0.83,,0.22
ARHGAP29,0.64,0.18,,0.24,,,,,2.22,0.35,,0.31,,,,0.21,,-5.04,0.71,1.42
RNF32-DT,,,,0.68,,,,,-1.06,,,0.65,,,,,,1.63,,0.29
PLEKHJ1,-2.0,,,-0.39,,,,,1.2,,,0.24,,,,,,-2.22,,0.21
TSGA10,-0.31,,,0.7,,,,,0.22,,,0.36,,,,,,0.33,,0.09
CCDC181,-0.36,,,-1.88,,,,,0.75,,,0.32,,,,,,0.06,,0.1
NPRL2,-0.18,,,-0.6,,,,,-0.47,,,0.17,,,,,,-0.46,,0.97
ZNF280B,0.07,,,-1.46,,,,,0.46,,,0.15,,,,,,1.05,,0.14
INTS8,0.4,-0.67,,1.47,,,,,-1.83,-0.75,,-4.73,,,,-0.16,,-0.08,-0.03,-3.11
FOXO1,0.01,,,-1.51,,,,,-1.7,,,0.33,,,,,,0.09,,1.07
SOCS7,0.45,,,0.43,,,,,-1.46,,,0.14,,,,,,-2.09,,0.87
ACTR6,-0.57,,,-2.81,,,,,2.5,,,-2.07,,,,,,-1.98,,-2.35
ELOF1,2.38,,,-1.0,,,,,4.89,,,0.47,,,,,,3.31,,-1.45
DNAJC9,-1.17,-3.16,,-3.59,,,,,0.65,-3.07,,-4.09,,,,0.46,,-2.71,1.05,-3.92
KRT25,0.07,,,-0.38,,,,,0.33,,,0.24,,,,,,-0.92,,1.39
ZNF593,-0.26,0.14,,-3.15,,,,,-0.56,-0.05,,-0.03,,,,0.18,,-0.43,-0.62,0.28
NMS,-0.18,,,-0.29,,,,,0.36,,,0.32,,,,,,-0.57,,0.38
N6AMT1,1.11,,,1.09,,,,,1.7,,,-0.94,,,,,,-1.24,,-0.71
LAMP5,0.26,,,-2.6,,,,,-0.56,,,0.56,,,,,,2.11,,0.21
POLE4,0.0,,,-0.76,-2.89,,-1.5,-1.93,0.65,,-2.6,-0.04,-1.16,-2.93,0.66,,-0.78,-0.58,,0.15
DUT,1.45,,,2.09,0.28,,-1.32,-0.21,2.82,,0.66,-1.82,-0.73,-0.15,-1.81,,-0.82,-4.7,,-0.73
ZNHIT1,-0.37,,,-1.43,,,,,0.45,,,-0.51,,,,,,-2.59,,-0.94
TMEM214,0.48,,,-1.99,,,,,-0.55,,,0.31,,,,,,-0.64,,0.29
CHAF1A,-1.1,,,-0.26,1.09,,-0.17,1.54,1.02,,2.09,-3.14,0.04,0.89,-0.59,,-0.88,0.2,,-1.67
CPT1A,0.9,,,0.72,,,,,0.39,,,0.33,,,,,,1.6,,0.46
PYGL,-1.11,,,-1.34,,,,,0.19,,,0.28,,,,,,0.25,,-0.11
ATP2B3,-0.43,,,0.16,,,,,0.54,,,0.21,,,,,,1.81,,-0.03
GHDC,0.83,,,-1.53,,,,,1.67,,,-0.13,,,,,,-0.15,,-0.37
SOGA1,-0.21,,,1.1,,,,,-0.78,,,0.48,,,,,,0.34,,0.33
ADCYAP1R1,-0.72,,,0.2,,,,,-1.24,,,0.29,,,,,,0.17,,0.41
WDR4,-0.79,,,1.08,,,,,2.03,,,-0.75,,,,,,0.32,,-1.97
EEF2,-0.64,,,-0.71,,,,,0.74,,,-4.91,,,,,,-0.65,,-3.5
FBN3,-1.66,,,-0.46,,,,,-1.27,,,0.07,,,,,,-0.02,,0.78
GPR15,-0.57,,,0.35,,,,,0.98,,,0.41,,,,,,-0.67,,0.73
SCNN1G,1.14,,,-0.75,,,,,-0.22,,,0.08,,,,,,-0.95,,1.02
CAPZB,0.73,,,1.01,,,,,1.76,,,-0.4,,,,,,-16.19,,1.61
TMEM212,0.15,,,0.93,,,,,-0.24,,,0.62,,,,,,0.31,,0.41
NDUFB7,0.12,-0.09,,-0.34,,,,,0.68,0.32,,-0.97,,,,0.76,,-0.67,2.01,-0.38
SRSF5,-1.37,,,1.44,,,,,0.89,,,0.43,,,,,,0.67,,-0.58
COQ10A,1.22,,,0.96,,,,,-0.29,,,-0.14,,,,,,0.82,,-0.46
NUFIP2,-0.15,,,0.77,,,,,-1.44,,,-0.57,,,,,,0.59,,0.14
CORO2B,-0.91,,,2.45,,,,,0.27,,,0.48,,,,,,-0.2,,0.49
PLCXD2,0.88,,,-0.19,,,,,0.71,,,0.48,,,,,,0.39,,0.65
PDK4,-0.98,,,-0.79,,,,,-0.61,,,0.49,,,,,,1.35,,0.49
EXT2,1.02,,,-0.28,,,,,-0.34,,,-0.13,,,,,,-1.52,,0.12
SUCO,-2.23,,,-0.38,,,,,-0.59,,,-0.8,,,,,,-0.03,,-1.19
NFIL3,0.45,,,-0.42,,,,,1.87,,,0.39,,,,,,0.81,,0.79
STX10,0.32,,,-1.24,,,,,-0.98,,,0.38,,,,,,0.55,,-0.29
ZSWIM5,0.79,,,-0.58,,,,,-0.0,,,0.21,,,,,,0.17,,0.22
RPA2,-2.47,,,0.33,-0.65,,-2.01,-0.17,-0.45,,0.2,-4.44,-1.22,-0.19,-1.81,,-1.71,2.14,,-3.75
ATP6V0E1,0.97,,,-0.92,,,,,1.02,,,0.43,,,,,,-1.0,,0.18
VCPKMT,-0.2,,,-0.02,,,,,0.8,,,0.15,,,,,,1.22,,-0.83
CRP,0.55,,,-1.19,,,,,-0.5,,,0.13,,,,,,-0.34,,0.92
CCDC146,1.71,,,-0.13,,,,,1.2,,,0.47,,,,,,-0.36,,-0.1
MYG1,0.37,,,0.45,,,,,-0.98,,,-0.26,,,,,,1.5,,-0.57
CHST14,0.27,,,0.65,,,,,0.48,,,0.48,,,,,,-0.33,,0.04
NACAD,-0.29,,,-0.11,,,,,0.02,,,0.31,,,,,,1.1,,-0.28
ORAI1,0.62,,,0.52,,,,,-0.12,,,0.28,,,,,,-1.01,,0.36
CDK5R1,-1.52,,,1.54,,,,,-1.8,,,-0.15,,,,,,0.01,,-0.92
USP15,-0.74,,,-0.83,,,,,0.17,,,-0.8,,,,,,-0.76,,-0.53
DUSP4,0.8,-2.86,,0.67,,,,,-0.47,-2.7,,0.53,,,,-1.63,,0.71,0.53,1.08
KCNJ2,1.09,0.95,,0.56,,,,,-0.89,0.72,,0.55,,,,1.26,,-0.48,-0.76,0.42
KSR1,1.1,,,0.69,,,,,-0.33,,,0.23,,,,,,0.21,,0.21
SOAT2,0.8,,,-0.18,,,,,0.91,,,-0.4,,,,,,-0.27,,-0.43
PSMB8,-1.4,,,-0.67,,,,,-0.43,,,0.57,,,,,,-0.23,,0.16
COPS7A,0.29,,,0.37,,,,,2.33,,,0.77,,,,,,-4.42,,0.7
KIRREL1,-0.86,,,0.78,,,,,-2.0,,,2.13,,,,,,-1.25,,4.0
NEURL4,2.09,,,0.5,,,,,1.98,,,0.17,,,,,,-1.04,,-0.17
PIN4,-0.45,,,0.08,,,,,-0.15,,,-0.0,,,,,,-0.91,,-0.4
PPM1F,0.36,,,0.79,,,,,0.64,,,0.75,,,,,,-0.74,,1.51
HIGD1B,1.64,,,0.15,,,,,1.43,,,-0.26,,,,,,1.06,,0.24
TADA2A,-1.17,-0.28,,2.04,,,,,-0.84,-0.03,,-0.73,,,,-0.32,,-2.25,0.98,-0.72
RNASE3,-0.02,,,0.47,,,,,0.44,,,0.33,,,,,,-0.49,,0.78
IKZF3,0.1,,,-0.17,,,,,-0.43,,,0.07,,,,,,0.25,,-0.25
MAP3K12,0.24,,,1.65,,,,,-0.34,,,0.28,,,,,,-1.56,,0.39
TTC39C,1.23,,,-0.45,,,,,0.44,,,0.27,,,,,,-0.33,,0.22
AHSA1,-0.33,,,1.02,,,,,0.82,,,0.55,,,,,,-0.47,,0.55
XRN1,1.05,,,-2.15,,,,,2.33,,,-1.0,,,,,,-1.23,,-0.38
KPRP,0.11,0.61,,0.8,,,,,-0.94,0.58,,-0.43,,,,0.25,,-0.06,-0.21,0.07
PSMG3,-1.05,,,-0.09,0.47,,-2.67,-0.07,1.43,,0.67,-3.82,-1.71,-0.24,-3.2,,-2.07,-0.25,,-4.66
FAAP20,1.21,,,0.78,0.14,,0.06,0.13,0.44,,0.11,-0.27,0.01,0.32,0.18,,-0.07,0.29,,-0.39
COPS2,0.53,,,-1.43,,,,,2.25,,,-2.76,,,,,,-3.68,,-0.53
C4BPA,-0.34,,,1.2,,,,,-0.75,,,0.3,,,,,,-0.2,,0.15
OR5T3,-0.68,,,0.45,,,,,1.35,,,0.4,,,,,,-0.8,,1.4
IGBP1,0.57,,,1.08,,,,,0.87,,,-3.11,,,,,,-1.69,,-2.22
STXBP6,0.29,,,-0.29,,,,,2.01,,,0.61,,,,,,-0.1,,0.33
ZNF106,0.27,,,-1.96,,,,,1.19,,,0.29,,,,,,-0.55,,0.5
TWIST1,-0.01,,,-0.44,,,,,-0.42,,,0.4,,,,,,-0.92,,-0.58
NXF1,-2.04,,,0.24,,,,,1.52,,,-4.12,,,,,,-0.62,,-0.35
CRCP,-0.35,,,-1.01,,,,,0.17,,,-3.26,,,,,,0.15,,-2.99
ZNF101,-1.63,,,0.57,,,,,0.35,,,-0.48,,,,,,0.34,,0.6
COX7A2,-0.73,0.59,,-0.91,,,,,0.53,0.72,,-0.21,,,,0.21,,-0.97,0.41,-0.22
ADPGK,-0.11,,,-1.26,,,,,1.46,,,0.48,,,,,,-1.3,,0.53
DFFA,-0.73,,,1.2,,,,,-0.8,,,0.31,,,,,,0.13,,1.42
S1PR5,-0.09,,,-1.09,,,,,-0.49,,,0.2,,,,,,0.3,,0.07
NKD2,-0.75,,,0.41,,,,,0.81,,,0.16,,,,,,0.28,,0.02
HTRA4,-0.57,,,0.36,,,,,-0.51,,,0.28,,,,,,1.68,,0.18
DCLRE1C,0.51,,,1.6,-0.56,,0.78,-0.43,0.05,,-1.21,0.27,0.27,0.63,0.6,,0.62,-0.7,,0.41
RETREG3,0.6,,,-0.02,,,,,-0.6,,,-0.11,,,,,,2.07,,-0.85
UBXN1,0.69,,,0.28,,,,,-0.23,,,0.24,,,,,,-0.41,,0.09
GINS4,0.65,,,-0.2,,,,,2.74,,,-1.56,,,,,,0.52,,-2.41
ANK3,-0.2,1.02,,-1.03,,,,,0.79,0.99,,0.42,,,,0.54,,2.12,-0.27,0.45
MASTL,0.97,,,1.15,,,,,2.22,,,-4.21,,,,,,1.79,,-3.18
POLD2,3.27,-2.42,,0.25,0.57,,-1.49,-0.37,1.1,-2.16,1.92,-2.77,-1.01,-0.33,-1.89,-1.12,-1.25,1.08,1.08,-3.36
TLCD1,-1.42,,,-0.77,,,,,0.37,,,-0.66,,,,,,-1.91,,-0.1
ZDHHC24,0.57,,,-0.1,,,,,-3.25,,,0.05,,,,,,1.17,,-0.02
HIPK4,1.3,,,0.84,,,,,-1.31,,,0.24,,,,,,-0.07,,0.66
TROAP,0.27,,,0.68,,,,,1.2,,,-0.08,,,,,,1.17,,-0.06
RAD17,-1.69,,,-3.7,-0.32,,-1.22,-0.9,1.45,,-1.03,-1.26,-0.83,-1.03,-0.95,,-1.59,-0.49,,-1.68
UBA5,-0.82,-0.73,,-0.83,,,,,3.0,-0.57,,-0.69,,,,0.21,,-0.05,0.98,-0.54
PNMA8A,-0.64,,,-1.26,,,,,-0.86,,,0.34,,,,,,-1.07,,0.58
RER1,-0.47,,,-0.15,,,,,0.96,,,-0.44,,,,,,-0.05,,-1.08
ENTHD1,-0.1,,,0.35,,,,,-0.87,,,0.19,,,,,,0.88,,-0.43
BRINP2,-0.21,,,-0.98,,,,,-0.01,,,0.46,,,,,,0.94,,-0.23
C1GALT1,0.08,,,0.82,,,,,-0.8,,,0.49,,,,,,-0.55,,0.96
FAM170B,1.35,,,-0.66,,,,,-1.29,,,0.34,,,,,,-1.63,,0.06
RUNX1T1,0.01,,,0.36,,,,,-0.25,,,0.5,,,,,,1.32,,0.67
ETFA,1.37,,,0.75,,,,,0.31,,,0.61,,,,,,-1.13,,0.99
CACNG1,-0.44,0.6,,-0.06,,,,,0.46,0.59,,0.43,,,,0.24,,0.03,-0.1,-0.22
GORAB,-0.56,,,0.79,,,,,-0.83,,,-0.05,,,,,,0.64,,0.57
RNASE11,-0.94,,,0.52,,,,,-1.01,,,0.54,,,,,,-0.07,,0.27
