gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
PEX11A,-0.53,,,0.52,,,,,0.68,,,0.53,,,,,,-1.2,,0.68
OR7C1,2.09,,,-0.91,,,,,0.09,,,0.16,,,,,,0.31,,0.4
CHSY1,-0.87,,,-0.79,,,,,-1.14,,,0.55,,,,,,0.72,,0.18
PLXND1,-1.22,,,0.11,,,,,-0.37,,,0.54,,,,,,0.01,,1.11
RSKR,0.47,,,-0.42,,,,,0.79,,,-0.28,,,,,,-1.73,,0.06
STAT1,0.7,0.79,,0.66,,,,,0.63,0.65,,0.32,,,,1.54,,-1.13,-0.14,0.11
TELO2,-0.16,,,-0.57,-0.86,,-0.43,-0.4,3.22,,-0.08,-2.16,-1.33,-0.17,-0.4,,-1.02,0.47,,-4.27
ARL8A,1.29,,,-0.02,,,,,0.75,,,0.25,,,,,,-0.77,,0.19
USP36,-1.21,,,-0.8,,,,,1.39,,,-0.65,,,,,,-0.68,,-0.42
RALGPS1,-0.41,,,0.75,,,,,-0.46,,,0.45,,,,,,0.06,,0.33
GABRB2,0.34,,,0.37,,,,,0.91,,,0.28,,,,,,0.8,,0.37
BOD1L1,2.05,-0.37,,-0.57,,,,,-0.43,-0.26,,-1.43,,,,-1.57,,1.16,-0.1,-2.07
MAP3K8,1.95,,,-0.07,,,,,0.48,,,0.69,,,,,,-0.49,,0.97
STAT5B,0.3,,,-0.16,,,,,-1.8,,,-0.02,,,,,,-0.62,,-0.28
ADRA2A,2.11,,,0.88,,,,,-1.25,,,0.33,,,,,,-0.43,,0.31
MPST,-0.83,,,0.17,,,,,-0.41,,,0.32,,,,,,0.09,,-0.4
GFPT1,0.7,,,0.86,,,,,0.86,,,0.41,,,,,,-1.29,,0.01
KLHL10,1.27,,,1.43,,,,,-0.18,,,-0.04,,,,,,-0.2,,-0.05
VPS13B,-0.38,,,-0.1,,,,,-0.35,,,0.22,,,,,,-0.62,,0.65
FBH1,0.81,,,0.82,,,,,-0.25,,,0.51,,,,,,-0.38,,0.26
ORM1,1.18,,,1.58,,,,,-0.33,,,0.38,,,,,,-0.66,,0.84
ERN2,-0.18,,,2.12,,,,,0.05,,,0.16,,,,,,-0.99,,0.01
OGA,0.31,,,0.41,,,,,2.0,,,-0.17,,,,,,-2.17,,0.18
TNIK,1.74,,,-0.3,,,,,-0.12,,,0.33,,,,,,0.04,,0.52
CTDNEP1,-1.33,,,1.41,,,,,2.13,,,-2.61,,,,,,1.85,,-3.93
SNAPC4,-0.32,,,-0.49,,,,,2.16,,,-2.86,,,,,,1.3,,-1.24
HDDC3,-0.15,0.72,,-0.7,,,,,0.17,0.74,,0.59,,,,-0.33,,0.12,-0.28,0.82
ITGAL,0.15,,,0.63,,,,,0.09,,,0.16,,,,,,0.23,,0.58
TRIP12,0.55,1.21,,0.34,,,,,-0.18,0.29,,0.62,,,,0.11,,-0.72,-3.86,0.57
GATAD2A,-1.95,,,-0.41,,,,,0.58,,,-0.5,,,,,,-1.6,,0.91
SCG3,-0.72,,,1.08,,,,,1.87,,,0.44,,,,,,-1.81,,1.07
MOGS,0.18,,,-0.41,,,,,-1.01,,,-0.72,,,,,,-1.62,,-0.28
CCM2,0.68,,,0.69,,,,,-2.64,,,0.06,,,,,,-3.81,,1.54
ARHGAP35,0.17,,,1.15,,,,,0.92,,,1.04,,,,,,0.09,,1.22
PIF1,-0.2,,,0.49,0.57,,0.65,-1.33,-0.25,,-3.31,0.57,1.05,0.64,0.53,,0.71,0.59,,-0.14
PTCRA,0.69,,,1.43,,,,,-0.01,,,0.17,,,,,,-0.55,,0.7
MAP2K4,-1.04,,,0.03,,,,,0.5,,,0.47,,,,,,0.36,,-0.41
CLEC4F,-1.21,,,-0.02,,,,,0.42,,,0.27,,,,,,-1.45,,0.61
RNF40,0.55,,,0.33,,,,,2.5,,,-1.54,,,,,,1.38,,-1.96
TMTC1,-1.68,,,0.87,,,,,-1.51,,,0.28,,,,,,-0.03,,0.53
SULT1A2,-0.46,,,-0.91,,,,,-0.62,,,0.51,,,,,,0.1,,0.62
KLHDC1,-0.4,,,1.26,,,,,0.55,,,0.11,,,,,,0.26,,-0.13
PLEKHF2,0.53,,,-0.25,,,,,-1.05,,,0.28,,,,,,-0.57,,0.5
PLPP7,-0.3,,,1.68,,,,,-0.13,,,0.2,,,,,,-0.33,,-0.36
XRCC6,-1.02,,,0.38,-1.66,,-1.21,-0.59,1.61,,-0.49,-3.37,-1.82,-0.41,-0.92,,-0.68,1.23,,-3.17
C15orf61,1.21,,,1.78,,,,,-1.47,,,0.85,,,,,,0.51,,0.7
BCLAF1,0.73,,,-1.21,,,,,0.33,,,-0.49,,,,,,0.11,,-1.07
CST9L,0.04,,,0.0,,,,,-0.62,,,0.02,,,,,,0.07,,-0.1
HEPHL1,0.58,,,0.17,,,,,1.51,,,0.14,,,,,,0.03,,0.49
PCDHB3,-0.77,,,2.42,,,,,-2.89,,,0.4,,,,,,1.3,,-1.19
CSNK1G1,0.38,,,0.24,,,,,0.46,,,0.17,,,,,,-1.12,,0.7
KIN,0.74,,,0.84,,,,,0.3,,,-3.42,,,,,,-0.78,,-1.04
SMIM12,1.31,0.82,,0.51,,,,,-0.91,0.96,,0.32,,,,-0.23,,-3.02,0.08,1.46
PLOD3,-0.69,0.61,,-0.57,,,,,-0.14,0.68,,0.28,,,,-0.44,,-0.76,-0.07,-0.42
SAMD11,1.01,,,0.65,,,,,-0.78,,,0.29,,,,,,0.99,,0.39
CISH,-0.82,,,-1.14,,,,,-0.76,,,0.33,,,,,,-0.2,,0.5
CRNKL1,1.58,-0.67,,1.64,,,,,1.13,-0.8,,-2.55,,,,0.66,,0.56,0.4,-2.72
NOLC1,-1.04,-0.43,,-0.08,,,,,2.16,-0.7,,-1.51,,,,0.17,,0.17,-0.62,-2.13
TNR,0.57,,,0.59,,,,,-0.98,,,0.07,,,,,,0.7,,-0.37
NUDT3,0.18,,,-0.93,,,,,0.25,,,0.16,,,,,,0.35,,0.68
SUPT5H,2.05,,,0.79,,,,,0.68,,,-3.4,,,,,,0.74,,-2.03
TTLL13,,,,-0.04,,,,,0.92,,,0.32,,,,,,-0.57,,0.76
NAGLU,0.17,,,-0.17,,,,,0.63,,,0.16,,,,,,-0.12,,0.11
NAT8,0.02,,,-2.05,,,,,0.23,,,-0.04,,,,,,-0.24,,-0.05
NUP42,0.04,,,0.38,,,,,0.27,,,-0.11,,,,,,1.0,,-0.24
RASL12,1.09,,,0.76,,,,,0.57,,,0.61,,,,,,-1.06,,1.16
AEN,-0.04,,,0.49,0.35,,0.58,0.34,-0.75,,-0.01,0.37,0.66,0.56,0.67,,0.81,-1.36,,0.33
ORC4,-1.82,,,0.1,,,,,1.27,,,-0.8,,,,,,0.71,,-2.35
CAPN3,0.6,,,0.08,,,,,-0.36,,,0.36,,,,,,-0.94,,0.14
ADD2,-0.22,,,0.2,,,,,-0.2,,,0.15,,,,,,-0.37,,0.66
DMC1,0.71,,,0.47,0.71,,0.81,-0.59,-0.76,,-0.5,-0.08,1.18,0.18,0.77,,1.09,-0.43,,1.14
NUDT19,-0.32,,,0.14,,,,,-0.31,,,-0.2,,,,,,0.88,,-1.19
VEZF1,-0.75,,,0.4,,,,,-0.26,,,0.24,,,,,,-0.19,,-1.29
HTATSF1,-0.26,,,1.83,,,,,0.82,,,-3.14,,,,,,2.01,,-3.47
DDB1,3.61,,,1.45,0.38,,-1.2,1.14,0.28,,0.72,-4.19,-0.74,-0.2,-1.35,,-1.81,1.36,,-2.77
ABCB10,-0.39,,,-1.14,,,,,0.43,,,0.18,,,,,,0.56,,0.48
SMR3A,-1.83,,,-0.78,,,,,0.03,,,0.04,,,,,,-0.88,,1.2
CDKN3,-2.41,,,-1.3,,,,,1.07,,,0.33,,,,,,-0.66,,0.11
SRSF6,0.58,,,1.75,,,,,-0.48,,,-0.83,,,,,,0.29,,-1.45
DTX2,0.12,,,1.36,,,,,0.33,,,-0.44,,,,,,-1.35,,-0.27
LARP4,0.57,,,-0.75,,,,,1.61,,,-0.21,,,,,,-1.82,,0.28
OR6C75,0.33,,,1.49,,,,,-0.1,,,0.25,,,,,,0.9,,0.13
PNPLA6,0.48,,,-0.11,,,,,-1.34,,,0.09,,,,,,-1.18,,0.55
OAZ3,-0.82,,,0.37,,,,,-2.09,,,0.03,,,,,,0.25,,-0.2
CWC25,-0.04,,,0.41,,,,,1.34,,,-1.96,,,,,,-0.69,,-1.11
POLD1,1.71,,,1.02,0.33,,-0.62,0.37,0.95,,2.62,0.72,-0.43,0.11,-0.81,,-0.26,-0.84,,-4.13
AGO1,0.6,,,1.07,,,,,-0.4,,,0.14,,,,,,-0.2,,-0.22
LINC00632,,,,0.53,,,,,-0.1,,,0.34,,,,,,0.83,,-0.34
TTLL11,0.19,,,0.08,,,,,0.99,,,-0.28,,,,,,1.31,,-0.12
KRT9,-0.35,,,0.11,,,,,-0.21,,,0.33,,,,,,-0.77,,-0.1
TTF2,0.24,,-0.57,0.32,,0.23,,,0.96,,,0.0,,,,,,0.2,,0.1
KLHL34,-1.48,,,0.81,,,,,-0.93,,,0.37,,,,,,-0.11,,0.55
TMEM184B,0.17,,,-1.09,,,,,1.29,,,-0.02,,,,,,0.36,,-0.19
CDC5L,0.65,,,1.26,-0.58,,-1.26,-1.05,1.33,,1.02,-3.45,-1.64,-0.08,-1.53,,-0.94,-1.76,,-2.38
GJC3,-1.07,,,1.76,,,,,-0.25,,,0.18,,,,,,0.69,,0.79
ZNF605,0.77,,,0.22,,,,,0.44,,,0.37,,,,,,0.45,,0.18
TRMT2B,1.01,,,0.48,,,,,0.21,,,0.25,,,,,,0.25,,0.97
INTS6,-1.32,,,1.09,,,,,0.29,,,-4.27,,,,,,3.2,,-2.17
SUMO1,-0.01,,,0.91,,,,,0.81,,,0.37,,,,,,-0.03,,0.56
HAUS8,0.88,,,-0.43,,,,,1.83,,,-0.8,,,,,,-0.71,,-1.8
GMPPB,0.5,,,-0.05,,,,,1.37,,,-0.16,,,,,,0.19,,-1.0
CRYL1,0.92,,,0.0,,,,,0.4,,,0.43,,,,,,-0.82,,1.29
TAF1B,0.48,,,0.29,,,,,1.78,,,-1.68,,,,,,1.69,,-1.87
PCGF6,-2.74,,,0.19,,,,,1.15,,,0.14,,,,,,0.77,,0.34
DUSP21,0.95,,,0.84,,,,,0.29,,,0.27,,,,,,0.01,,0.26
DDA1,-0.02,,,0.24,,,,,-0.04,,,-0.71,,,,,,2.17,,-0.29
AGO4,-0.07,,,0.82,,,,,-0.13,,,-0.1,,,,,,0.93,,-0.68
GATA6,-1.21,,,-0.19,,,,,0.5,,,0.93,,,,,,-4.26,,1.46
MESD,-1.25,,,0.44,,,,,0.68,,,-0.17,,,,,,0.13,,-2.0
ASIP,0.43,,,0.49,,,,,-1.1,,,0.15,,,,,,0.95,,-0.39
MYL5,0.29,,,1.39,,,,,-0.33,,,0.3,,,,,,-0.35,,0.51
BLK,-1.83,,,0.09,,,,,1.69,,,0.03,,,,,,0.28,,0.26
KANSL1,1.96,0.02,,-1.73,,,,,-0.56,-0.11,,-2.52,,,,1.42,,-0.24,0.15,0.49
SPN,1.12,,,0.45,,,,,-0.01,,,0.32,,,,,,0.62,,0.83
AGAP2,-0.46,,,-0.09,,,,,-1.18,,,-0.29,,,,,,2.37,,-0.4
CNOT10,-0.24,-0.28,,-0.41,,,,,-1.42,-0.81,,0.53,,,,-2.14,,2.19,-2.71,-1.35
CYP1B1,-0.73,,,-0.13,,,,,-0.15,,,0.46,,,,,,-0.06,,0.51
GHRHR,-0.33,,,0.39,,,,,0.01,,,0.38,,,,,,0.65,,0.05
AURKAIP1,-0.45,,,1.52,,,,,0.59,,,-0.36,,,,,,-0.71,,-1.06
ZRSR2,-0.15,,,1.11,,,,,1.11,,,0.15,,,,,,-0.43,,-0.39
DHRS4,-0.47,,,1.59,,,,,-0.48,,,0.58,,,,,,-0.56,,0.64
COPS7B,0.33,,,-0.27,,,,,1.2,,,0.51,,,,,,0.28,,0.38
OCA2,-0.78,,,-0.03,,,,,-0.3,,,0.64,,,,,,-1.07,,0.8
DGKI,0.48,,,-0.37,,,,,-0.64,,,0.54,,,,,,-0.91,,0.6
SEZ6L2,-0.2,,,-0.52,,,,,-0.15,,,0.07,,,,,,0.38,,-0.16
MAP3K1,0.01,,,-0.53,,,,,-0.0,,,0.49,,,,,,-0.19,,0.1
RETSAT,2.67,,,-0.21,,,,,-1.05,,,-0.0,,,,,,-1.15,,0.43
FCMR,-0.02,,,0.4,,,,,-0.08,,,0.03,,,,,,0.72,,-0.04
UMPS,-0.17,,,0.57,,,,,0.53,,,0.21,,,,,,-0.71,,0.49
THUMPD1,0.72,,,1.7,,,,,-0.18,,,-0.01,,,,,,0.51,,0.29
BRI3,0.05,,,0.06,,,,,-0.32,,,0.24,,,,,,0.17,,0.1
MBIP,-1.04,,,2.0,,,,,0.59,,,0.55,,,,,,0.37,,0.45
UBR5,-0.19,,,-1.3,,,,,1.85,,,-1.39,,,,,,-0.74,,-0.62
CDH5,0.54,,,0.37,,,,,-0.34,,,0.44,,,,,,-1.34,,0.51
UAP1,1.42,,,0.1,,,,,-0.21,,,0.26,,,,,,0.47,,0.67
RASGRF2,-0.13,,,0.11,,,,,1.1,,,0.2,,,,,,0.08,,-0.06
DCAF17,1.31,,,0.01,,,,,-1.28,,,0.22,,,,,,0.46,,0.53
SZT2,-2.41,,,0.21,,,,,-1.9,,,0.0,,,,,,1.11,,1.01
OR10AG1,-0.48,,,-0.72,,,,,0.25,,,0.39,,,,,,0.48,,-0.22
SQOR,1.5,,,-1.83,,,,,-0.25,,,0.39,,,,,,-0.79,,0.76
SRP68,1.62,,,-0.28,,,,,1.42,,,-2.31,,,,,,0.8,,-1.81
NUP214,0.3,,,1.19,,,,,0.13,,,-3.52,,,,,,1.06,,-3.83
ZNF776,-0.39,,,0.54,,,,,0.88,,,0.53,,,,,,-0.05,,1.25
FAM20A,-0.3,,,0.69,,,,,-0.39,,,0.5,,,,,,-0.67,,0.2
ADAMDEC1,0.67,,,-0.38,,,,,2.03,,,0.7,,,,,,0.19,,0.33
DCAF5,-0.22,,,2.21,,,,,1.68,,,0.66,,,,,,0.33,,0.47
PBXIP1,-0.63,,,0.16,,,,,0.52,,,0.17,,,,,,-0.58,,1.12
TM6SF2,1.59,,,-0.75,,,,,-0.41,,,-0.21,,,,,,-1.13,,0.06
TMEM79,0.4,,,0.31,,,,,-0.87,,,-0.17,,,,,,-0.71,,-0.37
POLA1,0.21,-1.62,,1.57,0.59,,-1.15,1.26,0.03,-1.35,0.61,-3.25,-0.07,0.09,-1.59,1.08,-0.85,-0.94,1.82,-1.71
FLOT1,0.5,,,-1.27,,,,,-0.55,,,0.08,,,,,,0.48,,-0.02
LRRC15,1.39,,,-0.8,,,,,-0.0,,,-0.1,,,,,,-0.75,,1.35
FAM178B,0.72,,,0.31,,,,,-0.51,,,0.14,,,,,,0.48,,-0.46
ANO6,-0.12,,,-1.25,,,,,0.6,,,0.56,,,,,,-0.68,,-0.02
CEBPE,0.61,,,0.22,,,,,-0.18,,,0.19,,,,,,0.63,,0.33
ZSWIM6,-0.64,,,0.15,,,,,-1.19,,,0.91,,,,,,-1.5,,1.89
CUL2,1.5,,,-2.15,,,,,2.69,,,-2.52,,,,,,0.97,,-2.32
POU6F1,-1.14,,,-0.32,,,,,-1.49,,,0.26,,,,,,0.77,,0.68
SH3BP1,-1.47,,,-0.13,,,,,0.22,,,-0.05,,,,,,0.56,,0.33
MINDY4,-0.22,,,-0.18,,,,,-1.12,,,0.29,,,,,,-0.36,,-0.17
CHRNA7,0.45,,,-1.59,,,,,-1.01,,,0.44,,,,,,-0.14,,1.03
EXTL3,-0.58,,,0.74,,,,,0.16,,,0.21,,,,,,-3.11,,1.23
TCP10L,-0.03,,,0.47,,,,,2.55,,,0.17,,,,,,-0.25,,-0.08
CDKN2AIP,-0.45,,,0.62,,,,,0.35,,,0.08,,,,,,-1.34,,-0.73
STK11,-1.81,,,1.33,,,,,1.74,,,-2.04,,,,,,0.88,,-2.09
GEMIN5,-1.33,-0.86,,2.45,,,,,2.04,-0.98,,-4.84,,,,-0.12,,-0.18,0.01,-4.25
LIG4,0.41,,,1.29,0.21,,-0.35,0.03,3.09,,0.01,0.26,0.07,-0.58,0.21,,-0.22,-1.09,,-0.03
F8,-0.05,0.64,,0.45,,,,,-0.13,0.69,,0.23,,,,-0.12,,-0.44,-0.02,0.38
FNDC3B,0.24,0.42,,-0.37,,,,,0.25,0.41,,-0.02,,,,-0.52,,0.35,-0.35,0.44
RND2,-0.39,,,0.53,,,,,0.16,,,-0.1,,,,,,0.77,,-0.77
HACD3,,,,1.19,,,,,0.39,,,0.41,,,,,,-0.73,,1.51
IL17RE,0.95,0.79,,1.86,,,,,-0.48,0.75,,0.35,,,,0.05,,0.77,-0.4,-0.07
BAP1,-0.15,,,0.35,,,,,2.47,,,-0.18,,,,,,0.67,,-1.46
RAB11FIP5,-1.94,,,0.95,,,,,-0.34,,,-0.11,,,,,,0.56,,0.21
SLC7A13,1.32,,,-0.28,,,,,-0.78,,,0.34,,,,,,-0.78,,0.02
CTDP1,1.26,,,1.17,,,,,2.84,,,-2.76,,,,,,0.3,,-2.52
TRAPPC6A,-0.03,,,0.94,,,,,0.36,,,0.24,,,,,,-0.02,,0.4
MEX3B,0.29,,,0.06,,,,,-1.29,,,0.61,,,,,,0.48,,0.39
ATP2B2,0.7,,,-0.36,,,,,-1.01,,,0.14,,,,,,-0.16,,-0.41
NLRP7,-2.72,,,1.0,,,,,0.75,,,0.34,,,,,,0.64,,-0.44
NF1,0.55,,,-0.06,,,,,-0.01,,,0.91,,,,,,-2.23,,0.84
CCDC63,-0.64,,,-1.01,,,,,1.03,,,0.04,,,,,,0.23,,-0.11
ALDOA,1.93,,,0.62,,,,,1.25,,,-7.79,,,,,,1.13,,-5.51
DPP6,-2.92,,,0.75,,,,,-1.68,,,0.39,,,,,,-0.28,,0.63
KCTD13,0.94,,,-0.46,,,,,1.04,,,0.61,,,,,,-0.95,,0.3
SLC27A6,-0.2,,,-0.08,,,,,1.48,,,0.37,,,,,,-0.31,,0.55
GPAT2,-0.31,,,-0.57,,,,,-0.57,,,-0.37,,,,,,-0.91,,0.01
TNFAIP8L1,-0.22,,,0.97,,,,,0.47,,,0.38,,,,,,1.07,,0.38
GMIP,-0.59,,,-0.11,,,,,-0.53,,,-0.16,,,,,,-0.73,,0.49
FXR2,0.09,,,1.04,,,,,-1.49,,,0.34,,,,,,-0.67,,1.82
SERP1,0.18,,,-0.24,,,,,1.7,,,0.35,,,,,,0.15,,-0.24
MED19,0.55,,,-1.01,,,,,1.31,,,-1.38,,,,,,1.56,,-1.36
FAM3C,1.12,,,-1.06,,,,,-1.6,,,0.22,,,,,,0.05,,0.75
SLK,0.0,,,-0.77,,,,,1.09,,,0.06,,,,,,-0.31,,-1.06
RAD1,-0.32,,,-1.87,-0.59,,-0.85,0.26,1.18,,-0.97,-1.05,-0.78,-0.25,-0.79,,-0.75,-1.21,,-1.49
BDKRB1,0.85,,,0.93,,,,,-0.57,,,0.21,,,,,,1.37,,0.07
UBAP2L,0.32,0.37,,0.99,,,,,-0.77,-0.52,,0.03,,,,0.9,,1.98,-2.95,0.89
CTNNBIP1,0.79,,,-0.31,,,,,-2.5,,,0.59,,,,,,-3.13,,1.42
DNAAF4,0.55,,,-1.87,,,,,-0.59,,,0.31,,,,,,-1.52,,0.91
SPR,0.48,,,1.75,,,,,0.0,,,0.26,,,,,,-0.46,,-0.29
TAOK2,0.26,,,-0.94,,,,,1.72,,,1.04,,,,,,0.2,,1.38
RNF138,0.3,,,-1.32,0.21,,0.59,-0.11,0.61,,0.18,0.38,0.82,-0.27,0.73,,1.02,-1.53,,0.1
CCL13,-1.05,,,0.81,,,,,0.98,,,0.26,,,,,,-0.35,,-0.43
THRAP3,0.25,,,0.81,,,,,2.12,,,0.07,,,,,,1.24,,0.68
PNISR,-2.07,,,1.77,,,,,0.53,,,-0.64,,,,,,0.72,,-1.06
SPINT2,0.26,,,0.61,,,,,-1.34,,,0.2,,,,,,-0.12,,0.02
TMEM80,-0.65,,,-0.42,,,,,-1.42,,,0.1,,,,,,0.6,,0.69
NAALADL2,-0.46,,,-0.2,,,,,0.56,,,0.11,,,,,,-0.53,,0.47
OR10G3,1.03,,,-0.33,,,,,1.71,,,0.56,,,,,,0.18,,0.34
RRM2,-1.77,,,-1.35,0.9,,-0.8,-1.24,0.47,,-4.67,-2.44,-0.27,0.65,-1.69,,-1.18,0.2,,-2.53
RND3,1.55,,,0.17,,,,,0.53,,,0.84,,,,,,0.3,,0.17
CCDC70,-0.95,,,2.07,,,,,-0.94,,,0.02,,,,,,-1.21,,0.65
MAP4K1,-1.15,,,1.15,,,,,0.42,,,0.28,,,,,,-0.03,,0.43
OGFOD2,-0.81,,,-1.9,,,,,-0.6,,,0.36,,,,,,-0.54,,0.02
OR2Z1,-0.38,,,-2.16,,,,,-1.32,,,0.15,,,,,,-0.73,,0.1
ANXA10,1.77,,,-2.08,,,,,-0.02,,,0.47,,,,,,-0.14,,0.88
WDR61,1.23,,,,,,,,,,,,,,,,,1.64,,-2.63
CES2,0.12,,,-0.24,,,,,0.4,,,-0.03,,,,,,0.18,,-0.44
TBC1D31,0.36,,,-0.98,,,,,-1.1,,,0.31,,,,,,0.68,,0.08
B3GAT3,0.11,,,0.17,,,,,0.27,,,-0.42,,,,,,-0.9,,-0.71
PRDX1,-0.48,0.72,,0.49,,,,,-0.19,0.52,,0.22,,,,0.15,,0.07,-0.96,0.31
SLC48A1,0.86,,,-0.1,,,,,0.17,,,0.57,,,,,,0.61,,0.65
TADA1,0.02,,,-1.89,,,,,2.68,,,-2.22,,,,,,1.23,,-0.56
HCRT,0.96,,,0.57,,,,,-1.29,,,0.25,,,,,,-0.31,,0.44
GABRA2,-0.37,,,0.23,,,,,0.69,,,0.57,,,,,,0.13,,-0.64
UFC1,0.34,,,-0.15,,,,,3.18,,,-0.73,,,,,,0.12,,-0.69
TMEM120B,0.03,,,-3.33,,,,,-0.16,,,0.38,,,,,,0.95,,-0.07
DCAF15,1.59,,,0.72,,,,,0.62,,,0.12,,,,,,-0.45,,0.78
DHX8,-0.97,-1.04,,1.84,-0.31,,-0.69,1.14,-1.19,-1.28,0.68,-3.51,-1.1,-0.06,-1.14,0.08,-0.91,-0.71,-0.42,-2.28
ZNF835,0.61,,,-1.0,,,,,-0.99,,,0.55,,,,,,-0.89,,0.72
BMT2,1.52,,,-0.73,,,,,-0.67,,,0.35,,,,,,2.08,,0.53
CACNA2D1,-2.14,,,0.92,,,,,-1.28,,,0.01,,,,,,-0.38,,0.39
OR10H2,-0.24,,,0.65,,,,,1.26,,,0.6,,,,,,-0.02,,1.09
RALGAPA1,-0.87,,,-1.65,,,,,0.77,,,0.41,,,,,,0.39,,0.49
MAEA,-0.69,-0.4,,-1.6,,,,,-0.43,-0.61,,-0.31,,,,-0.3,,-0.09,-0.64,-0.73
PTCD2,-0.59,,,-1.63,,,,,-0.16,,,-0.05,,,,,,-1.1,,-0.17
NWD1,1.4,,,-0.58,,,,,-1.62,,,-0.16,,,,,,-0.36,,0.15
ATG10,0.14,,,0.74,,,,,0.62,,,0.53,,,,,,0.4,,-0.39
VANGL1,-3.11,,,0.09,,,,,-2.1,,,0.16,,,,,,2.85,,-0.93
INAVA,1.31,,,-1.53,,,,,0.08,,,0.12,,,,,,0.43,,0.33
RCVRN,-1.54,,,-0.59,,,,,-1.31,,,0.23,,,,,,1.0,,0.2
CHAC1,1.13,,,0.66,,,,,-0.72,,,0.19,,,,,,-0.6,,0.71
UPF3A,0.57,,,0.39,,,,,1.02,,,-0.43,,,,,,-1.61,,0.61
CEP95,0.35,,,0.34,,,,,0.06,,,0.31,,,,,,0.01,,0.52
GRPEL2,1.39,,,-0.03,,,,,-0.16,,,0.4,,,,,,-0.54,,0.44
MARS1,2.67,,,1.14,,,,,1.14,,,-3.49,,,,,,0.7,,-3.85
AGAP1,-0.33,,,-0.23,,,,,-0.88,,,0.91,,,,,,-0.81,,1.08
GPC4,-0.09,,,0.49,,,,,-0.25,,,0.39,,,,,,-0.02,,0.02
CFDP1,-1.78,,,-1.27,,,,,0.34,,,-3.07,,,,,,-1.19,,-1.94
UBC,1.0,,,-0.34,,,,,2.78,,,-0.9,,,,,,-0.47,,-2.05
TRNT1,-2.16,,,-0.66,,,,,0.63,,,-1.8,,,,,,0.49,,-2.69
NPAS3,-0.32,,,0.46,,,,,-1.02,,,0.59,,,,,,0.23,,-0.33
DHX29,0.49,0.01,,-0.8,,,,,-0.11,-0.42,,-0.24,,,,-1.43,,-0.16,-2.11,-0.98
DAD1,1.47,,,1.18,,,,,0.95,,,-4.36,,,,,,-0.04,,-3.34
SHQ1,-0.46,-0.98,,-0.42,,,,,1.64,-0.82,,-2.36,,,,0.8,,0.03,1.62,-3.46
MAPK8IP3,-0.23,0.66,,-0.82,,,,,0.76,0.66,,0.22,,,,0.06,,-0.01,-0.21,-0.43
NAA50,0.67,,,-1.09,,,,,2.0,,,-3.33,,,,,,1.07,,-3.84
ZDHHC19,-0.51,0.8,,-0.19,,,,,-0.03,0.99,,-0.09,,,,0.17,,-0.0,0.48,-0.3
ZFAT,1.18,,,0.59,,,,,1.65,,,0.28,,,,,,-2.26,,0.81
ADIRF,-0.68,,,1.17,,,,,-0.31,,,0.01,,,,,,-0.07,,0.45
USP31,-1.43,,,0.26,,,,,0.31,,,0.49,,,,,,0.47,,0.21
